i	in; inside; in, inside	preposition	1	core preposition core_500 core_1000 core_2000
være	be; to be; exist	verb	2	core verb core_500 core_1000 core_2000
og	and	conjunction	3	core conjunction core_500 core_1000 core_2000
en	one; a; an	pronoun	4	core pronoun core_500 core_1000 core_2000
den	that; the; that, the	pronoun	5	core pronoun core_500 core_1000 core_2000
på	on	preposition	6	core preposition core_500 core_1000 core_2000
til	to; towards; to, towards	preposition	7	core preposition core_500 core_1000 core_2000
det	that; it; the	pronoun	8	core pronoun core_500 core_1000 core_2000
at	to; elliptically; that	function_word	9	core function_word core_500 core_1000 core_2000
af	by; of; from	preposition	10	core preposition core_500 core_1000 core_2000
have	have got; to have, have got	verb	11	core verb core_500 core_1000 core_2000
for	of; to; on	preposition	12	core preposition core_500 core_1000 core_2000
der	that; there	function_word	13	core function_word core_500 core_1000 core_2000
at	that; in order that; so that	conjunction	14	core conjunction core_500 core_1000 core_2000
med	with; by; including	preposition	15	core preposition core_500 core_1000 core_2000
som	as; like; as, like	function_word	16	core function_word core_500 core_1000 core_2000
ikke	not; isn’t it so	adverb	17	core adverb core_500 core_1000 core_2000
kunne	be able; can; to be able, can	verb	18	core verb core_500 core_1000 core_2000
blive	become; til; to become	verb	19	core verb core_500 core_1000 core_2000
han	he	pronoun	20	core pronoun core_500 core_1000 core_2000
om	about	preposition	21	core preposition core_500 core_1000 core_2000
men	but; catch; hitch	conjunction	22	core conjunction core_500 core_1000 core_2000
jeg	I	pronoun	23	core pronoun core_500 core_1000 core_2000
vi	we	pronoun	24	core pronoun core_500 core_1000 core_2000
fra	from	preposition	25	core preposition core_500 core_1000 core_2000
de	they; those; plural definite article	pronoun	26	core pronoun core_500 core_1000 core_2000
skulle	will; would; shall	verb	27	core verb core_500 core_1000 core_2000
så	so; at; as	adverb	28	core adverb core_500 core_1000 core_2000
man	you; one; they	pronoun	29	core pronoun core_500 core_1000 core_2000
ville	want; willing; to want to, be willing to	verb	30	core verb core_500 core_1000 core_2000
sig	third-person pronoun	pronoun	31	core pronoun core_500 core_1000 core_2000
megen	much; a lot; much, a lot	adjective	32	core adjective core_500 core_1000 core_2000
få	get; to get; have	verb	33	core verb core_500 core_1000 core_2000
sige	say; to say; tell	verb	34	core verb core_500 core_1000 core_2000
år	year	noun	35	core noun core_500 core_1000 core_2000
også	too; as well; also	adverb	36	core adverb core_500 core_1000 core_2000
anden	other; another; else	pronoun	37	core pronoun core_500 core_1000 core_2000
god	good	adjective	38	core adjective core_500 core_1000 core_2000
nogen	some; somebody; someone	pronoun	39	core pronoun core_500 core_1000 core_2000
stor	large; great; magnificent	adjective	40	core adjective core_500 core_1000 core_2000
ved	at; by; at, by	preposition	41	core preposition core_500 core_1000 core_2000
komme	come; to come; get	verb	42	core verb core_500 core_1000 core_2000
sin	his; her; its	pronoun	43	core pronoun core_500 core_1000 core_2000
hvor	where; how	adverb	44	core adverb core_500 core_1000 core_2000
hun	she	pronoun	45	core pronoun core_500 core_1000 core_2000
eller	or; nor	conjunction	46	core conjunction core_500 core_1000 core_2000
al	all; any	pronoun	47	core pronoun core_500 core_1000 core_2000
ud	out	adverb	48	core adverb core_500 core_1000 core_2000
ny	new; fresh; recent	adjective	49	core adjective core_500 core_1000 core_2000
hel	whole; entire; complete	adjective	50	core adjective core_500 core_1000 core_2000
nu	now	adverb	51	core adverb core_500 core_1000 core_2000
gå	go; to go; walk	verb	52	core verb core_500 core_1000 core_2000
efter	after	preposition	53	core preposition core_500 core_1000 core_2000
gøre	do; perform; execute	verb	54	core verb core_500 core_1000 core_2000
se	see; to see; look	verb	55	core verb core_500 core_1000 core_2000
dansk	Danish	adjective	56	core adjective core_500 core_1000 core_2000
når	when	conjunction	57	core conjunction core_500 core_1000 core_2000
over	above; past; hour	preposition	58	core preposition core_500 core_1000 core_2000
op	up; un-	adverb	59	core adverb core_500 core_1000 core_2000
denne	this; this one; latter	pronoun	60	core pronoun core_500 core_1000 core_2000
dag	day	noun	61	core noun core_500 core_1000 core_2000
mangen	many	adjective	62	core adjective core_500 core_1000 core_2000
hvis	if	conjunction	63	core conjunction core_500 core_1000 core_2000
tage	take; get; pick up	verb	64	core verb core_500 core_1000 core_2000
