lemma,english,pos,frequency_rank,normalized_frequency,cefr_estimate,tags
i,,preposition,1,0.0322404804271641,A1,core preposition core_500 core_1000 core_2000
være,,verb,2,0.030935463606501,A1,core verb core_500 core_1000 core_2000
og,,conjunction,3,0.0296007020873918,A1,core conjunction core_500 core_1000 core_2000
en,,pronoun,4,0.0253585933517205,A1,core pronoun core_500 core_1000 core_2000
den,,pronoun,5,0.0248530479877218,A1,core pronoun core_500 core_1000 core_2000
på,,preposition,6,0.0153180160799095,A1,core preposition core_500 core_1000 core_2000
til,,preposition,7,0.0152311044168289,A1,core preposition core_500 core_1000 core_2000
det,,pronoun,8,0.0147416726637171,A1,core pronoun core_500 core_1000 core_2000
at,,function_word,9,0.0145099408399794,A1,core function_word core_500 core_1000 core_2000
af,,preposition,10,0.0141683654191358,A1,core preposition core_500 core_1000 core_2000
have,,verb,11,0.0141026891694366,A1,core verb core_500 core_1000 core_2000
for,,preposition,12,0.0129306780108177,A1,core preposition core_500 core_1000 core_2000
der,,function_word,13,0.0128903272789881,A1,core function_word core_500 core_1000 core_2000
at,,conjunction,14,0.0112893932329769,A1,core conjunction core_500 core_1000 core_2000
med,,preposition,15,0.0112550014465284,A1,core preposition core_500 core_1000 core_2000
som,,function_word,16,0.00994214016343829,A1,core function_word core_500 core_1000 core_2000
ikke,,adverb,17,0.00925109483086469,A1,core adverb core_500 core_1000 core_2000
kunne,,verb,18,0.00683768304050003,A1,core verb core_500 core_1000 core_2000
blive,,verb,19,0.00640145599804168,A1,core verb core_500 core_1000 core_2000
han,,pronoun,20,0.0063829588090024,A1,core pronoun core_500 core_1000 core_2000
om,,preposition,21,0.00608752852732537,A1,core preposition core_500 core_1000 core_2000
men,,conjunction,22,0.00591391976766766,A1,core conjunction core_500 core_1000 core_2000
jeg,,pronoun,23,0.00563974935772991,A1,core pronoun core_500 core_1000 core_2000
vi,,pronoun,24,0.00556168050277641,A1,core pronoun core_500 core_1000 core_2000
fra,,preposition,25,0.00520294532037365,A1,core preposition core_500 core_1000 core_2000
de,,pronoun,26,0.00481552493111962,A1,core pronoun core_500 core_1000 core_2000
skulle,,verb,27,0.00460186338690137,A1,core verb core_500 core_1000 core_2000
så,,adverb,28,0.00421004494019816,A1,core adverb core_500 core_1000 core_2000
man,,pronoun,29,0.00420731449806086,A1,core pronoun core_500 core_1000 core_2000
ville,,verb,30,0.00414692347715674,A1,core verb core_500 core_1000 core_2000
sig,,pronoun,31,0.00412805941274885,A1,core pronoun core_500 core_1000 core_2000
megen,,adjective,32,0.00412510217492913,A1,core adjective core_500 core_1000 core_2000
få,,verb,33,0.00381861226850377,A1,core verb core_500 core_1000 core_2000
sige,,verb,34,0.00371318785197432,A1,core verb core_500 core_1000 core_2000
år,,noun,35,0.00356138816536527,A1,core noun core_500 core_1000 core_2000
også,,adverb,36,0.00328106536667026,A1,core adverb core_500 core_1000 core_2000
anden,,pronoun,37,0.00311531996907979,A1,core pronoun core_500 core_1000 core_2000
god,,adjective,38,0.00309121848084908,A1,core adjective core_500 core_1000 core_2000
nogen,,pronoun,39,0.00296544026356647,A1,core pronoun core_500 core_1000 core_2000
stor,,adjective,40,0.0028997895839687,A1,core adjective core_500 core_1000 core_2000
ved,,preposition,41,0.00284613239369392,A1,core preposition core_500 core_1000 core_2000
komme,,verb,42,0.00275456141343196,A1,core verb core_500 core_1000 core_2000
sin,,pronoun,43,0.0027150522714631,A1,core pronoun core_500 core_1000 core_2000
hvor,,adverb,44,0.00267071149206397,A1,core adverb core_500 core_1000 core_2000
hun,,pronoun,45,0.00242485274314764,A1,core pronoun core_500 core_1000 core_2000
eller,,conjunction,46,0.00220239174880042,A1,core conjunction core_500 core_1000 core_2000
al,,pronoun,47,0.00214791075656157,A1,core pronoun core_500 core_1000 core_2000
ud,,adverb,48,0.00214440876440664,A1,core adverb core_500 core_1000 core_2000
ny,,adjective,49,0.00209002338211234,A1,core adjective core_500 core_1000 core_2000
hel,,adjective,50,0.00207414768434332,A1,core adjective core_500 core_1000 core_2000
nu,,adverb,51,0.00207267351240762,A1,core adverb core_500 core_1000 core_2000
gå,,verb,52,0.00205256318348999,A1,core verb core_500 core_1000 core_2000
efter,,preposition,53,0.00204904006820778,A1,core preposition core_500 core_1000 core_2000
gøre,,verb,54,0.00199218550350837,A1,core verb core_500 core_1000 core_2000
se,,verb,55,0.00197203848705387,A1,core verb core_500 core_1000 core_2000
dansk,,adjective,56,0.00193841158016175,A1,core adjective core_500 core_1000 core_2000
når,,conjunction,57,0.00187062301773417,A1,core conjunction core_500 core_1000 core_2000
over,,preposition,58,0.00184844262234273,A1,core preposition core_500 core_1000 core_2000
op,,adverb,59,0.0018323779281717,A1,core adverb core_500 core_1000 core_2000
denne,,pronoun,60,0.00177026481652219,A1,core pronoun core_500 core_1000 core_2000
dag,,noun,61,0.00175385659359691,A1,core noun core_500 core_1000 core_2000
